CO_ANO,CO_MES,CO_MUN,CO_PAIS,KG_LIQUIDO,SG_UF_MUN,SH4,VL_FOB
1998,03,3443303,249,4604,SP,9306,33739
1998,01,3443303,244,3422,SP,9306,40046
1998,09,3443303,383,309,SP,9306,1725
1998,10,3443303,275,5408,SP,9306,33820
1998,10,3449904,053,26837,SP,9306,1933260
1998,05,3443303,589,9318,SP,9306,69009
1998,12,3443303,245,4099,SP,9306,29692
1998,12,3407605,845,357,SP,9306,26008
1998,08,3449904,053,12960,SP,9306,209488
1998,02,3443303,023,13035,SP,9306,88807
1998,11,3443303,589,65994,SP,9306,843636
1998,08,3306107,087,22,RJ,9306,1043
1998,11,3443303,586,16426,SP,9306,138409
1998,12,3443303,023,26,SP,9306,211
1998,04,3443303,169,24444,SP,9306,332400
1998,06,3443303,573,3946,SP,9306,24934
1998,09,3443303,756,7299,SP,9306,56765
1998,04,3443303,586,12519,SP,9306,101113
1998,05,3443303,087,7479,SP,9306,62089
1998,03,3443303,845,2222,SP,9306,15255
1998,08,3443303,249,20714,SP,9306,134269
1998,11,3443303,245,812,SP,9306,7560
1998,06,3443303,538,5280,SP,9306,53000
1998,04,3443303,245,3109,SP,9306,21871
1998,04,3443303,275,2970,SP,9306,18776
1998,07,3443303,850,3894,SP,9306,28611
1998,04,3443303,271,4542,SP,9306,32003
1998,11,3443303,023,5366,SP,9306,38525
1998,01,3443303,087,5,SP,9306,36
1998,04,3443303,431,1930,SP,9306,29800
1998,03,3443303,850,5767,SP,9306,39747
1998,03,3443303,023,12502,SP,9306,84106
1998,10,3443303,087,59855,SP,9306,1034844
1998,09,3443303,245,1,SP,9306,11
1998,04,3443303,573,7168,SP,9306,49954
1998,02,3443303,063,4913,SP,9306,40030
1998,09,3443303,097,6,SP,9306,93
1998,05,3443303,850,6,SP,9306,41
1998,11,3443303,820,9,SP,9306,132
1998,04,3443303,249,34227,SP,9306,235334
1998,12,3443303,249,12642,SP,9306,89253
1998,08,3443303,820,6100,SP,9306,56000
1998,04,3443303,850,325,SP,9306,2618
1998,04,3443303,023,7775,SP,9306,54210
1998,06,3443303,158,4865,SP,9306,36550
1998,10,3443303,063,12329,SP,9306,69774
1998,12,3443303,589,84604,SP,9306,1088374
1998,09,3443303,586,18918,SP,9306,146499
1998,02,3443303,158,1470,SP,9306,13280
1998,09,3443303,249,10048,SP,9306,68766
1998,09,3443303,538,19180,SP,9306,137963
1998,11,3443303,271,2166,SP,9306,15082
1998,07,3443303,249,12043,SP,9306,82634
1998,06,3443303,169,48518,SP,9306,590089
1998,09,3443303,063,11053,SP,9306,49071
1998,03,3443303,586,14388,SP,9306,100988
1998,08,3443303,023,6894,SP,9306,53419
1998,11,3443303,063,9918,SP,9306,95401
1998,12,3443303,267,174,SP,9306,1856
1998,10,3443303,586,15522,SP,9306,107526
1998,09,3443303,158,884,SP,9306,7180
1998,05,3443303,023,9008,SP,9306,56264
1998,12,3443303,850,366,SP,9306,2733
1998,11,3443303,267,274,SP,9306,2629
1998,10,3443303,267,1136,SP,9306,15898
1998,06,3443303,756,5062,SP,9306,110010
1998,09,3443303,351,146,SP,9306,1200
1998,09,3443303,023,9944,SP,9306,81183
1998,05,3304557,764,280,RJ,9306,18000
1998,02,3443303,764,7506,SP,9306,119930
1999,10,3449904,169,4444,SP,9306,304163
1999,03,3443303,589,14270,SP,9306,226547
1999,05,3443303,023,12689,SP,9306,81539
1999,06,3443303,083,1605,SP,9306,15817
1999,10,3443303,538,24663,SP,9306,148588
1999,09,3443303,301,24,SP,9306,270
1999,05,4312401,063,257,RS,9306,3705
1999,06,3443303,756,10641,SP,9306,73383
1999,06,3443303,820,950,SP,9306,9566
1999,10,3443303,158,409,SP,9306,2695
1999,02,3443303,764,37,SP,9306,450
1999,02,3443303,158,2492,SP,9306,17825
1999,09,3443303,249,35926,SP,9306,232972
1999,06,3443303,750,5,SP,9306,15
1999,06,4312401,249,6059,RS,9306,76370
1999,02,3306107,087,281,RJ,9306,17127
1999,06,3443303,087,12,SP,9306,155
1999,04,3443303,548,6710,SP,9306,54703
1999,07,3443303,063,6670,SP,9306,49403
1999,04,3413009,158,215,SP,9306,19879
1999,04,3443303,275,10425,SP,9306,70944
1999,05,3443303,538,7600,SP,9306,41830
1999,09,3443303,850,3480,SP,9306,26820
1999,03,3306107,087,281,RJ,9306,17127
1999,10,3443303,271,3211,SP,9306,19403
1999,09,3443303,764,1261,SP,9306,8621
1999,08,3443303,023,38269,SP,9306,257922
1999,08,3443303,351,1642,SP,9306,6086
1999,10,4312401,063,10144,RS,9306,28564
1999,06,3136702,267,7408,MG,9306,76563
1999,08,4312401,249,3861,RS,9306,45558
1999,04,4312401,845,4135,RS,9306,11802
1999,12,4312401,249,9464,RS,9306,97081
1999,09,3443303,607,7600,SP,9306,80211
1999,03,3443303,023,10852,SP,9306,71746
1999,01,3449904,275,488,SP,9306,20600
1999,08,3443303,249,29422,SP,9306,204145
1999,11,3443303,069,3714,SP,9306,28807
1999,11,3449904,040,16449,SP,9306,1284000
1999,04,3443303,063,10889,SP,9306,87259
1999,04,4312401,063,9462,RS,9306,39390
1999,07,3443303,097,1841,SP,9306,20339
1999,07,3443303,741,67,SP,9306,946
1999,04,3443303,767,4682,SP,9306,38359
1999,04,3443303,158,2870,SP,9306,20416
1999,11,3443303,493,2,SP,9306,12
1999,10,3443303,249,59642,SP,9306,404090
1999,06,3443303,072,16477,SP,9306,112635
1999,06,3443303,023,14550,SP,9306,91502
1999,03,3443303,083,3695,SP,9306,39750
1999,09,3443303,538,38548,SP,9306,296824
1999,09,3443303,741,15552,SP,9306,99083
1999,09,3443303,586,9284,SP,9306,69865
1999,06,3443303,628,101,SP,9306,648
1999,08,3443303,556,100,SP,9306,3236
1999,02,4312401,063,8227,RS,9306,23474
1999,06,3443303,386,14357,SP,9306,99697
1999,12,3443303,063,2070,SP,9306,16381
1999,02,3443303,249,32785,SP,9306,225795
1999,05,3443303,087,2397,SP,9306,17670
1999,08,3443303,776,1457,SP,9306,21679
1999,03,3443303,271,3202,SP,9306,21899
1999,09,3443303,589,321,SP,9306,3775
1999,11,3443303,467,2,SP,9306,8
1999,07,4312401,249,2095,RS,9306,26847
1999,04,3443303,538,27400,SP,9306,179000
1999,03,4312401,845,3399,RS,9306,11211
1999,01,3443303,827,56,SP,9306,930
1999,01,3443303,023,6208,SP,9306,47528
1999,11,3443303,445,1,SP,9306,10
1999,06,3443303,158,921,SP,9306,32768
1999,09,3443303,087,6974,SP,9306,118200
1999,06,3443303,850,8721,SP,9306,52800
